head_event	relation	tail_event
消除眼睛肿	X-Y	冷毛巾在眼睛周围贴敷30分钟
度数出现非常明显的加重	Accelerator	考虑有没有圆锥角膜的可能性
严重的并发症	Accelerator	行激光治疗
隐形眼镜	X-Y	角膜不断变薄
消除眼睛肿	X-Y	不要在睡前看手机和电脑
眼底出血	X-Y	不需要特殊处理
角膜病变产生角膜弯曲度不同	Accelerator	有些是不可以治疗
神经麻痹	X-Y	眼睑痉挛
高度近视	X-Y	周边视网膜变性
眼睛红	X-Y	等待血自然吸收
早期	Accelerator	复方血栓通胶囊
脱离时间比较短	Accelerator	视网膜脱离
眼睛视力下降的原因	X-Y	过度疲劳
高度近视	X-Y	视网膜裂孔的形成
抵抗力降低	Accelerator	病毒感染
根据患者的要求和经济状况	Accelerator	配渐进多焦点老花镜
糖尿病视网膜病变	X-Y	视物变形
红霉素眼药膏	X-Y	角膜炎
玻璃膜疣	X-Y	控制血压
角膜炎	X-Y	逐渐治愈
散光	X-Y	视物重影
眼睛充血比较明显	Accelerator	病毒性结膜炎
睑板腺功能障碍	X-Y	多吃新鲜的蔬菜、水果
老花眼	X-Y	发生的会更早一些
视网膜色素上皮病变	X-Y	及早手术治疗
配戴或者摘取美瞳及隐形眼镜时没有洗干净手	Accelerator	感染性因素
角膜炎	X-Y	修复起来会比较慢
串珠子训练	X-Y	远视
沙眼	X-Y	异物感
红点在下眼睑	Accelerator	皮下出血点
混合性散光	X-Y	适当降低两眼度数的差别
老花眼	X-Y	老花眼眼镜的验配
泪道阻塞	X-Y	泪囊炎
屈光状态改变	X-Y	角膜形态不规则
老花眼	X-Y	看远看不清
散光150度	X-Y	需要将散光配足
先天发育的问题	X-Y	视网变性
局部炎症	X-Y	抗感染
夜间看点状光源时四周出现发散状光晕	X-Y	散光
老视的症状	X-Y	视近不能持久
眼睛红	X-Y	血细胞进入到玻璃体腔
急性泪腺炎	X-Y	泪腺区疼痛
糖尿病视网膜病变	X-Y	眼底的激光治疗
眼底血管样条纹	X-Y	视物变形
角膜炎	X-Y	时间有可能会持续数月之久
圆锥角膜	X-Y	可能形成角膜穿孔
下眼皮肿胀、疼痛	X-Y	睑缘炎
散光	X-Y	激光手术治疗
电光性眼炎	X-Y	流泪
视网膜病变	X-Y	裂隙灯的检查
视网膜分支静脉阻塞	X-Y	眼内注药
视力明显的下降	Accelerator	及早完善眼底检查
揉眼睛	X-Y	结膜代偿性的充血
细菌感染	X-Y	角膜炎
超高度近视	X-Y	一定会出现高度近视性的眼底病变
四岁的儿童	Accelerator	视力非常明显的下降
轻度患者	Accelerator	可能完全没有症状
严重	Accelerator	眼睛的剧痛
急性期	Accelerator	结膜下、球旁或Tenon囊下注射激素
近视	X-Y	及早配戴眼镜
泪囊炎	X-Y	下眼睑肿胀、疼痛
散瞳	X-Y	看近物不清楚
范围小，呈现点状	Accelerator	外伤或者全身性疾病
角膜基质炎	X-Y	配戴深色眼镜
患有糖尿病等慢性消耗性疾病的患者	Accelerator	睑腺炎
流行性出血性结膜炎	X-Y	分泌物
盲目使用药物	Accelerator	病情加重
严重	Accelerator	结膜水肿
不规则散光	Accelerator	有些是不可以治疗
高度近视	X-Y	眼底视网膜脱落、视网膜裂孔的形成
浸润区域出现了瘢痕增生	Accelerator	角膜斑翳
积血不能吸收	Accelerator	手术治疗
眼底血管样条纹	X-Y	玻璃体腔内注射抗血管内皮细胞生长因子治疗
眼底病变	X-Y	活血通络的药物
角膜炎	X-Y	戴隐形眼镜
眼底的大出血	Accelerator	手术
老花眼	X-Y	配戴老花镜
代偿性的充血	X-Y	补充人工泪液的眼药水滋润眼睛
混合性散光	X-Y	原则上充分矫正
丝状角膜炎	X-Y	畏光
感染因素	X-Y	眼睛充血
散光	X-Y	飞秒激光手术
眼睛看东西模糊	X-Y	白内障
出血的部位出现明显的缺血状态	Accelerator	视野的恢复也是比较困难
确定病因	Accelerator	选择合理的治疗方案
高血压或者糖尿病等引起的视网膜病变	X-Y	原发病进行积极治疗
斜轴散光	Accelerator	头部倾斜
经过合理的用眼习惯	Accelerator	症状是可以很快恢复正常
眼部手术后遗留的后遗症	X-Y	干眼症
青光眼	X-Y	角膜雾状水肿
糖尿病视网膜病变	X-Y	眼前的黑影
视网膜新生血管	X-Y	视网膜出血
老花	X-Y	多做眼保健操
角膜炎	X-Y	完全治愈
近视激光手术原则	X-Y	散光度数在2年内没有明显增长
或多或少都有一点散光	Accelerator	长轴的方向则称之为散光的轴向
自行购买药物	Accelerator	病情耽误或者加重
孩子老是眨眼睛	X-Y	热敷
不用药水	Accelerator	形成大脓包
根本无法找到眼药水	Accelerator	母乳
儿童阶段	Accelerator	假性度数形成
老年性黄斑变性	X-Y	眼底出血
眼睛充血	X-Y	多补充维生素类的食品
药物控制	Accelerator	逐渐治愈
局部结膜下小毛细血管扩张出血	X-Y	球结膜下出血
病毒性角膜炎	X-Y	结膜充血
尽量减少使用电脑、手机这类电子产品的时间	X-Y	预防近视的发生、发展
儿童散光	X-Y	无法矫正
配戴老花眼镜	Accelerator	100-200元左右
病理性的散光	X-Y	度数会渐进性升高
早期	Accelerator	视网膜裂孔
散光	X-Y	角膜移植术
没有伴随视网膜脱离	Accelerator	视网膜激光光凝术
在视网膜的中心部位	Accelerator	看东西变形
血管扩张药	Inhibitor	促进疾病的恢复
压痛、触痛明显	Accelerator	睑皮炎
角膜炎	X-Y	早发现、早处理
沙眼	X-Y	角膜缘血管翳
沙眼	X-Y	异物感
栓子堵塞了动脉	X-Y	立刻会出现视网膜的缺血、缺氧改变
晶体的调节力	X-Y	非常强
干眼症	X-Y	及早的通过药物干预缓解症状
中心暗点	Accelerator	光动力疗法
避免剧烈运动	X-Y	严重并发症
激素类的眼药水	Accelerator	妥布霉素地塞米松滴眼剂
眼底出血	X-Y	抗VEGF药物
逐步发展	Accelerator	到正规医院做检查
眼睛局部病变	X-Y	眼底出血
晶状体不规则混浊	X-Y	不规则散光
糖尿病视网膜病变	X-Y	同时进行视网膜光凝
弹性就逐渐减弱	Accelerator	老花眼
眼底出血	X-Y	手术治疗
经常热敷	Accelerator	逐渐痊愈
视力下降	X-Y	及早到正规医院做相关检查
时间久	Accelerator	眼部疲劳
盘状角膜炎	X-Y	病毒感染引起的自身免疫性反应
三焦点人工晶体	Accelerator	手术以后视觉质量通常都非常好的
达到手术指标	Inhibitor	保守治疗
高度散光	Accelerator	术后发生眩光
眼表的细菌感染	X-Y	睑板腺的化脓性炎症
老花眼	X-Y	补充硒元素或者含硒的食品
晶体的调节力	X-Y	下降
视网膜的浅脱离	X-Y	完善眼底检查
沙眼	X-Y	烧灼感
小儿角膜炎	X-Y	不愿意睁眼
角膜炎	X-Y	角膜斑翳
治疗办法	Accelerator	施于巩膜的老视矫正手术
度数	Accelerator	具体的价格
流行性出血性结膜炎	X-Y	抗病毒与抗生素眼液交替使用
心情紧张	Accelerator	眼睑痉挛
严重	Accelerator	全身应用抗生素
多吃富含维生素和蛋白质的食物	Accelerator	缓解眼睛的衰老
怎么治疗	Accelerator	佩戴框架眼镜
小孩子有4.2的视力	X-Y	进行弱视训练和弱视治疗
年龄50岁	X-Y	生理性的远视度数大约在100-125度左右
凸透镜	X-Y	聚光
角膜炎	X-Y	角膜云翳
巩膜环扎术	X-Y	视网膜脱离
框架眼镜	Accelerator	很难保证清晰的视觉质量和相对正常的视野
激素类的眼药水	Accelerator	醋酸泼尼松龙滴眼剂
浸润区域出现了瘢痕增生	Accelerator	角膜云翳
睑板腺功能异常	X-Y	畏光
玻璃体切割手术	Accelerator	费用大概在20000-30000元之间
角膜炎	X-Y	视力障碍
角膜炎	X-Y	角膜穿孔
治疗办法	Accelerator	老视屈光手术
散光	X-Y	角膜绷带镜
儿童的年龄超过八岁	Accelerator	优先选择角膜接触镜
度数较大	Accelerator	验光后佩戴框架镜矫正
位于中央的光学区	Accelerator	视力下降会更加明显
散光	X-Y	恢复正常
高度近视	X-Y	带来的损害
根据患者的要求和经济状况	Accelerator	双光老花镜
严重	Accelerator	视力会下降到手动且不容易恢复
近视	X-Y	远视力一定会下降
摘了近视眼镜	Accelerator	可以看清近的东西
渐进性无痛性视力下降	Accelerator	屈光不正
孩子老是眨眼睛	X-Y	自体的血清
减少电子屏幕中蓝光对眼睛造成的损害	Accelerator	减少对眼睛造成损害
黄斑部位有出血	X-Y	看东西变形
视网膜手术	X-Y	术后感染
明确病因	Accelerator	选取合理的药物控制炎症
看东西很模糊	X-Y	及早到医院进行验光检查
幼儿	Accelerator	症状隐秘
视网膜中央静脉或分支静脉阻塞	X-Y	治疗原发病
滴眼药水及相关治疗	Accelerator	控制
老花眼	X-Y	施于晶状体的老视矫正手术
规则散光	X-Y	用柱镜矫正能获得较好的视力
散光	X-Y	适当降低25-50度左右的散光
细菌性鼻炎	X-Y	结膜炎
全身的原发病造成	Accelerator	治疗这些原发病
串珠子训练	X-Y	对于远视或者弱视这两种疾病是有治疗作用
老花眼	X-Y	配戴凸透镜
冷敷	uncorrelated	恢复
沙眼	X-Y	结膜充血减轻
流行性出血性结膜炎	X-Y	结膜下出血
外斜视	X-Y	手术矫正
颅内的疾病	X-Y	视野缺损
眼睛充血	X-Y	结膜炎的眼药水
出血	Accelerator	激光光凝术
黄斑水肿	Accelerator	眼内注射雷珠单抗注射液或者曲安奈德注射液
高度不对称的散光	Accelerator	斜颈
散光	X-Y	框架眼镜
急性期	Accelerator	睫状肌的麻痹剂
角膜炎恢复正常	X-Y	说明之前角膜炎症是比较严重
视网膜的静脉阻塞	X-Y	考虑眼睛注药来消水肿
出血量比较少	Accelerator	可能会恢复正常
全色盲	X-Y	暗适应比咱们正常人可能更敏感
视力不太好	Accelerator	散瞳验光
看东西非常模糊	X-Y	眼部疲劳
角膜炎	X-Y	角膜白斑
严重	Accelerator	视网膜脱离
角膜炎	X-Y	眼药水白天用
视野缺损	X-Y	神经外科进行进一步的诊治，必要的时候需要手术治疗
随着时间的延长	Accelerator	病情会越来越重
散光	X-Y	说明散光是由于晶状体的屈光状态异常导致
视网膜的浅脱离	X-Y	外路手术
急性沙眼感染	X-Y	症状隐秘
皮肤的血管瘤	X-Y	手术
小儿角膜炎	X-Y	怕光
将物体拿远	Accelerator	看清楚上面的字
眼睛比较好	Accelerator	发生的会更早一些
老花眼	X-Y	激光手术
结膜炎	X-Y	对视力没有任何影响
细菌性角膜炎	X-Y	选取广谱的抗生素药物
孔源性视网膜脱离	X-Y	造成的影响就越大
疲劳	Accelerator	眼睑痉挛
出血量越来越大	Accelerator	视力会严重下降直至失明
小孩子远视	X-Y	不配镜
视网膜静脉阻塞	X-Y	视网膜上大量的点片状出血
视网膜静脉栓塞	X-Y	视网膜出血
预防老花眼	X-Y	作息要有规律，避免熬夜，保证充足的睡眠
轻度的散光	X-Y	造成视力的下降
黄斑部位有出血	X-Y	看东西变大、变小
眼底出血	X-Y	在1-2周左右可以逐步恢复正常
糖尿病性视网膜病变	Accelerator	全视网膜激光光凝
角膜病变产生角膜弯曲度不同	Accelerator	角膜绷带镜
丧失在24小时之内恢复正常	Accelerator	视网膜动脉痉挛
老花眼	X-Y	到医院眼科做详细的检查
出血量很大的时候	Accelerator	眼部的B超
维生素A缺乏	X-Y	角膜软化
大量的眼部分泌物	Accelerator	术后感染
睑腺炎	X-Y	肿胀
通过鼻泪管进入结膜	Accelerator	结膜炎
超高度的近视	Accelerator	视力急剧的下降
缓解眼部的疲劳	Accelerator	萘敏维滴眼液
合并弱视	Accelerator	积极的弱视治疗和训练
眼睛视力下降的原因	X-Y	玻璃体积血
不愿意佩戴框架眼镜	Accelerator	角膜接触镜
虹膜新生血管	X-Y	前房出血
充血现象会比较重	Accelerator	细菌感染
散光	X-Y	疲劳症状加重
眼睛前面有小黑点或者条状飞絮	X-Y	玻璃体的退行性的变化
复杂的病例	Accelerator	玻璃体切割手术联合视网膜脱离复位
沙眼	X-Y	乳头增生
泪囊炎	X-Y	泪道探通
细菌性角膜炎	X-Y	避免受到撞击
儿童散光	X-Y	快速散瞳验光
老花眼	X-Y	远视力检查
散光	X-Y	没有办法预防
堵塞	Accelerator	泪道探通术
电光性眼炎	X-Y	局部麻醉
偏头疼	Accelerator	保持情绪稳定
不规则散光	X-Y	一般的柱镜无法矫正
两只眼睛的度数差别超过了200度	Accelerator	诊断为屈光参差
中心性浆液性脉络膜视网膜病变	X-Y	视物变暗、变形、变小、变远
角膜炎	X-Y	用药比较频
度数消失	Accelerator	晶体源性散光
眼睛看东西模糊	X-Y	视网膜静脉阻塞
有变化	Accelerator	及时做散瞳检查
角膜的防御能力减弱	Accelerator	角膜炎
眼睛视力下降的原因	X-Y	屈光不正
流行性出血性结膜炎	X-Y	刺痛
视网膜色素变性	X-Y	营养神经的药物
糖尿病视网膜病变	X-Y	视力丧失
术后感染	X-Y	及早治疗
白塞病葡萄膜炎	X-Y	眼前漂浮物
倒睫	X-Y	外观上眼睛发红
泪液质量异常，或者分布异常	X-Y	干眼症
光线有发散作用	Accelerator	矫正近视
飞蚊症	X-Y	近视眼
慢性期	Accelerator	结膜污秽增厚
轻度的干眼症	X-Y	症状是可以很快恢复正常
孩子老是眨眼睛	X-Y	聚乙二醇滴眼液
高度近视	X-Y	视力急剧的下降
视网膜脱落	X-Y	视网膜病变
沙眼	X-Y	目前基本上很少见
眼卫生习惯不好	Accelerator	细菌感染
先天闭锁	X-Y	泪道狭窄或阻塞
预防继发感染	Accelerator	短期的使用抗生素的药物
结膜的充血	X-Y	伴有眼睛的不适感
术后感染	X-Y	视力丧失
视网膜脱落	X-Y	巩膜环扎术
严重	Accelerator	角膜穿孔
角膜炎潜伏期	X-Y	在3-15天
视力也比较好	Accelerator	不用配戴眼镜
视物变形	Accelerator	及早完善眼底检查
药敏实验的结果	Accelerator	最敏感的药物
干眼症	X-Y	不要在暗光处看书
视野缺损	X-Y	及早到医院完善相关的检查
泪囊炎	X-Y	泪道置管
高度散光	Accelerator	术后效果也可能会受到影响
角膜炎	X-Y	抗病毒的药物
眼轴	Accelerator	带来的损害
白塞病葡萄膜炎	X-Y	流泪
角膜炎恢复正常	X-Y	保守治疗通常是无效
散瞳以后	Accelerator	说明散光是由于晶状体的屈光状态异常导致
没有得到及时的治疗	Accelerator	角膜溃疡
瞳孔增大	Accelerator	近距离阅读模糊会更为明显
正常情况	X-Y	生理性的远视度数大约在100-125度左右
治疗恢复正常	Accelerator	对视力没有任何影响
比如	Accelerator	氟米龙滴眼剂
角膜、结膜裂伤	X-Y	明显的伤口伴随流血
巩膜环扎术	X-Y	将环扎带手术取出
用力大便、咳嗽或者打喷嚏	Accelerator	角膜穿孔
随着时间的延长	Accelerator	脱离的范围会越来越大
沙眼	X-Y	乳头及滤泡增生
眼睛流血	X-Y	流行性出血性结膜炎
黄斑水肿	Accelerator	注射抗VEGF类的药物
角膜云翳	Accelerator	保守治疗通常是无效
眼部疲劳	X-Y	近视度数发展会越来越快
玻璃体牵拉	X-Y	视网膜脱离
电光性眼炎	X-Y	有时会视物不清
眼底的病情加重	Accelerator	眼前的黑影
高度近视性视网膜病变	X-Y	玻璃体切割手术
严重时	Accelerator	继发生眼内炎
及早使用药物干预	Accelerator	角膜溃疡
视野边缘部位的直线有轻微扭曲变形	X-Y	散光
视网膜手术	X-Y	术后正常的表现
眼底的出血	X-Y	玻璃体的积血
视网膜色素变性	X-Y	视力就会严重的下降
散光的原因	X-Y	角膜曲率不平
视网膜浅脱离	X-Y	进行详细的眼底检查
之前有过长期配戴角膜接触镜的病史	Accelerator	暂停佩戴
病因尚没有研究清楚	Accelerator	没有太好的治疗方法
角膜炎	X-Y	需积极抗感染、抗病毒对症治疗
治疗办法	Accelerator	施于晶状体的老视矫正手术
视疲劳	Accelerator	散瞳验光
视网膜分支静脉阻塞	X-Y	口服卵磷脂络合碘片
散光	X-Y	不用戴镜
流泪	Accelerator	病毒的感染
角膜病变产生角膜弯曲度不同	Accelerator	角膜移植术
急性期	Accelerator	畏光
350度的散光	X-Y	严重
结膜炎	X-Y	糖皮质激素滴眼液
麦粒肿	X-Y	形成大脓包
糖尿病等	X-Y	睡醒眼睛肿
球结膜下出血	X-Y	预防血压增高
散光	X-Y	准分子激光手术
眼底血管样条纹	X-Y	光动力疗法
下眼皮肿胀、疼痛	X-Y	下眼睑外伤
局部血管的炎性病变	X-Y	结合理疗
缓解期	Accelerator	免疫抑制剂
角膜炎	X-Y	角膜溃疡
散光	X-Y	老是看东西有点斜
角膜溃疡	Accelerator	手术治疗
散瞳以后，孩子的散光度数非常大	Accelerator	造成视力的下降
过度饮酒	X-Y	总是流泪
过敏性结膜	X-Y	清水洗脸及冲洗眼睛
高度近视	X-Y	定期做眼底检查
长期使用	Accelerator	耐药性和抗药性
视网膜前膜	X-Y	完善眼底检查
远视	X-Y	弱视
眼外伤	X-Y	缝合处理
红霉素眼膏	X-Y	明显的不适感
眼底病变	X-Y	眼底激光治疗
高度近视	X-Y	黄斑劈裂
高度近视	X-Y	视网膜、脉络膜萎缩性改变
渗出性黄斑变性	X-Y	玻璃体腔内注射药物治疗
早期	Accelerator	控制血压
细菌感染引起	X-Y	左氧氟沙星药水
高度数的远视或者有近视	X-Y	配戴一副眼镜
视网膜浅脱离	X-Y	巩膜外垫压术
角膜炎	X-Y	角膜炎治愈后会留下瘢痕
不散大瞳孔	Accelerator	晶状体变凸
经过合理休息	Accelerator	症状会自行好转
严重	Accelerator	视网膜裂孔
比较严重	Accelerator	角膜移植术
眼底病变	X-Y	营养神经的药物
炎症	X-Y	结膜下出血
中央静脉阻塞	Accelerator	视力会全部的下降
眼底病变在3级或4级以上	Accelerator	费用在5000-10000元之间
丝状物引起了明显的异物感	Accelerator	将丝状物去除
孩子老是眨眼睛	X-Y	睑板腺功能障碍
红绿色盲	X-Y	色盲镜
睑腺炎	X-Y	眼睑蜂窝织炎
验出远用度数	Accelerator	初步确定近用度数
眼部分泌物比较多	Accelerator	取部分眼部的分泌物去做药敏实验
视网膜血管堵塞	X-Y	眼部的胀痛
分支静脉阻塞	Accelerator	某一个区域眼前黑影视野缺损
睑板腺功能障碍	X-Y	局部滴用抗生素滴眼液
角膜基质炎	X-Y	带状疱疹病毒
红霉素眼药膏	X-Y	沙眼
轻度的散光	X-Y	不需要处理
过敏性疾病	X-Y	眼睑皮下出血点
视网膜上视锥细胞缺少三种感觉色泽的物质	X-Y	色盲
病情好转	Inhibitor	使用
出血吸收以后	Accelerator	视网膜激光光凝术
出血量比较大	Accelerator	玻璃体的积血
怎么治疗	Accelerator	佩戴隐形眼镜
视网膜色素变性	X-Y	没有太好的治疗方法
葡萄膜炎	X-Y	视网膜脱离
沙眼	X-Y	流泪
沙眼	X-Y	上下穹窿部结膜布满滤泡
视网膜裂孔	Accelerator	及早处理
实在闭合不了	Accelerator	角膜绷带镜
视网膜血管堵塞	X-Y	甲钴胺片
严重的话	Accelerator	视网膜裂孔的形成
各子午线的弯曲度不一致	Accelerator	一般的柱镜无法矫正
孩子角膜是在发育的过程中	Accelerator	散光有可能逐步消失并恢复正常
沙眼	X-Y	流泪
散光的度数不会太大	Accelerator	角膜接触镜
视物不清晰	Accelerator	到医院眼科做详细的检查
老花眼	X-Y	看清楚上面的字
视网膜分支静脉阻塞	X-Y	眼底出血
垂直性斜视	X-Y	手术矫正
睡觉姿势不正确	X-Y	眼部神经受压
沙眼	X-Y	较多的黏液或黏液脓性分泌物
50度	Accelerator	不需要治疗
睫状体手术	X-Y	治疗绝对期青光眼
保守治疗	Accelerator	可以自行恢复正常
沙眼	X-Y	合并弥漫性的角膜上皮炎
长期流眼泪	X-Y	泪道冲洗检查
没有近视	Accelerator	发生的会更早一些
视神经炎	X-Y	视盘旁线状的火焰状出血
角膜炎	X-Y	可以用糖皮质激素
内斜视	X-Y	配戴眼镜
散光	X-Y	配戴眼镜
眼底出血	X-Y	弄清楚外伤的原因
病理性的散光	X-Y	角膜穿孔
探通术不管用	Accelerator	泪道激光
细菌感染	X-Y	大量的黄色或白色的分泌物
急性期	Accelerator	全身应用抗生素
原因	Accelerator	先天性梅毒
视网膜浅脱离	X-Y	玻璃体切割手术
角膜炎	X-Y	视力下降会更加明显
长期流眼泪	X-Y	泪道堵塞
眼底出血	X-Y	眼底检查
炎症控制六个月之后	Accelerator	青光眼的手术
短期	Accelerator	视物模糊
儿童阶段	Accelerator	有近视的散光
闭角型青光眼	X-Y	高渗剂
眼睑蜂窝织炎	X-Y	危及生命
消除眼睛肿	X-Y	睡前不要喝大量的水
凹透镜	Accelerator	看近距离物品时有缩小
眼睛发痒	X-Y	过敏性睑皮炎
六个月的婴幼儿经过验光检查以后存在散光	X-Y	恢复
视网膜色素上皮病变	X-Y	视网膜色素上皮层紊乱
散光的度数	X-Y	对视力影响
突然视力下降	Accelerator	眼内炎
眼底病变	X-Y	激素类的药物
合并内囊炎症	Accelerator	抗感染对症治疗
眼睛前面有小黑点或者条状飞絮	X-Y	眼底的病变
防蓝光眼镜	X-Y	减少对眼睛造成损害
消除眼睛肿	X-Y	补充一些维生素类的食品
配戴老花镜	X-Y	确定老光戴镜的度数
预防老花眼	X-Y	多活动眼球
正常情况	Accelerator	40岁左右
超过600度	Accelerator	视网膜近视性改变
散光	X-Y	获得性的散光
早期	Accelerator	定期检查眼底
微生物可以沿着鼻泪管蔓延进入眼睛	Accelerator	角膜炎
加工工艺上的考量	Accelerator	纯远视眼镜的价格要贵
及早的通过各种光学矫正的办法提高视力	Accelerator	避免眼部疲劳的发生
电光性眼炎	X-Y	眼部疼痛难忍
结膜或者眼睑的水肿	Accelerator	术后感染
散光	X-Y	首选角膜接触镜
糖尿病视网膜病变	X-Y	视力的丧失
沙眼	X-Y	结膜污秽增厚
并发虹膜睫状体炎	Accelerator	睫状肌麻痹剂
刺激的产品和食物	Accelerator	加重对眼睛的损伤
比较严重的时候	Accelerator	可能形成角膜穿孔
眼睛流血	Accelerator	及时清创
下眼皮肿胀、疼痛	X-Y	眼睑脓肿
遗传因素造成	Accelerator	先天性
抗衰老作用的那些食品	Inhibitor	眼睛的老化
